pair,cls,support,confidence,lift,zhang,j_bits,order_bonus
need make,style,0.00065,0.125,2.2,0.067,0.0002,1.28
mani peopl,religion,0.00155,0.112,2.2,0.062,0.0006,0.94
imag navig,religion,0.00057,0.109,2.2,0.059,0.0002,1.12
new window,religion,0.00057,0.109,2.2,0.059,0.0002,1.46
extern link,grammar,0.00033,0.065,2.2,0.035,0.0001,0.98
great way,grammar,0.00033,0.065,2.2,0.035,0.0001,1.44
lot more,grammar,0.00049,0.065,2.2,0.035,0.0002,1.12
imag use,design,0.00253,0.574,2.1,0.305,0.0013,1.14
line code,design,0.00253,0.574,2.1,0.305,0.0013,1.13
social network,web,0.00474,0.569,2.1,0.304,0.0024,1.03
valu valu,design,0.00302,0.561,2.1,0.292,0.0015,1.35
applic develop,web,0.00229,0.56,2.1,0.295,0.0011,1.08
user experi,web,0.00229,0.56,2.1,0.295,0.0011,0.95
control over,web,0.0027,0.559,2.1,0.294,0.0013,1.07
want share,design,0.00286,0.556,2.1,0.287,0.0013,1.18
mail list,programming,0.00891,0.532,2.1,0.287,0.0045,1.05
last modifi,programming,0.00335,0.526,2.1,0.279,0.0016,1.05
now use,programming,0.00278,0.523,2.1,0.276,0.0013,1.3
allow user,programming,0.00229,0.519,2.1,0.272,0.0011,0.95
want use,programming,0.00499,0.517,2.1,0.271,0.0023,1.09
releas under,programming,0.00278,0.507,2.1,0.261,0.0012,0.98
see new,education,0.00188,0.397,2.1,0.204,0.0008,1.43
high school,education,0.00343,0.396,2.1,0.204,0.0014,1.02
target document,culture,0.00237,0.377,2.1,0.199,0.001,1.2
queri target,culture,0.00245,0.375,2.1,0.198,0.001,1.0
year later,culture,0.00188,0.371,2.1,0.194,0.0008,1.04
thing happen,culture,0.0018,0.367,2.1,0.189,0.0007,1.13
top page,internet,0.00155,0.306,2.1,0.164,0.0006,1.24
allow user,internet,0.00131,0.296,2.1,0.154,0.0005,1.07
file name,computer,0.00131,0.271,2.1,0.144,0.0005,1.07
command line,computer,0.0027,0.264,2.1,0.137,0.001,0.99
credit card,books,0.00114,0.264,2.1,0.138,0.0004,1.0
foundat inc,books,0.00327,0.263,2.1,0.138,0.0012,1.01
download page,computer,0.00139,0.262,2.1,0.134,0.0005,0.95
work licens,science,0.00123,0.259,2.1,0.136,0.0005,1.02
extern link,language,0.00131,0.258,2.1,0.137,0.0005,1.09
navig navig,science,0.00139,0.254,2.1,0.131,0.0005,1.22
human be,writing,0.00114,0.246,2.1,0.13,0.0004,1.01
improv articl,writing,0.00106,0.245,2.1,0.13,0.0004,1.09
copyright notic,writing,0.00155,0.241,2.1,0.125,0.0006,0.97
share photo,history,0.00098,0.231,2.1,0.121,0.0004,1.4
show hide,history,0.00221,0.227,2.1,0.118,0.0008,1.0
code document,politics,0.00172,0.214,2.1,0.115,0.0007,1.52
post video,politics,0.00098,0.214,2.1,0.115,0.0004,1.26
ad favorit,politics,0.00139,0.212,2.1,0.113,0.0005,0.95
function comment,politics,0.00139,0.212,2.1,0.113,0.0005,1.22
great deal,politics,0.0009,0.212,2.1,0.112,0.0003,1.04
turn old,politics,0.00139,0.21,2.1,0.11,0.0005,1.03
hide mark,politics,0.00114,0.209,2.1,0.109,0.0004,1.0
com event,politics,0.00123,0.208,2.1,0.109,0.0004,0.99
navig document,politics,0.00245,0.207,2.1,0.107,0.0009,0.94
ago show,politics,0.00114,0.206,2.1,0.106,0.0004,0.96
code code,politics,0.00172,0.206,2.1,0.106,0.0006,2.02
mark spam,politics,0.00114,0.206,2.1,0.106,0.0004,1.0
spam repli,politics,0.00114,0.206,2.1,0.106,0.0004,1.03
form function,politics,0.00139,0.205,2.1,0.105,0.0005,1.25
form new,politics,0.00139,0.205,2.1,0.105,0.0005,1.13
current version,java,0.0009,0.204,2.1,0.108,0.0003,1.03
over time,java,0.00155,0.202,2.1,0.107,0.0006,1.55
script document,java,0.00147,0.202,2.1,0.107,0.0005,2.47
gener public,java,0.00082,0.2,2.1,0.104,0.0003,1.1
between two,java,0.00123,0.197,2.1,0.102,0.0004,1.16
download file,java,0.00098,0.197,2.1,0.101,0.0003,1.11
link site,english,0.0009,0.186,2.1,0.098,0.0003,1.17
pleas wait,english,0.0009,0.183,2.1,0.095,0.0003,1.02
regist trademark,philosophy,0.00278,0.151,2.1,0.08,0.001,1.02
thing happen,philosophy,0.00074,0.15,2.1,0.079,0.0003,1.16
one one,philosophy,0.00074,0.148,2.1,0.077,0.0003,0.87
inc right,style,0.00131,0.123,2.1,0.065,0.0005,0.98
pleas know,style,0.00106,0.123,2.1,0.065,0.0004,1.16
use class,style,0.00057,0.123,2.1,0.065,0.0002,1.64
don use,style,0.00074,0.122,2.1,0.064,0.0003,1.27
week ago,style,0.00057,0.121,2.1,0.063,0.0002,1.0
use same,style,0.00082,0.12,2.1,0.063,0.0003,1.27
left right,style,0.00057,0.119,2.1,0.061,0.0002,1.23
don think,religion,0.00123,0.108,2.1,0.057,0.0004,1.13
few year,religion,0.00074,0.108,2.1,0.058,0.0003,1.08
first post,religion,0.00049,0.107,2.1,0.057,0.0002,1.15
friend famili,religion,0.00049,0.105,2.1,0.055,0.0002,0.95
window locat,religion,0.00065,0.105,2.1,0.055,0.0002,0.98
even though,religion,0.0009,0.104,2.1,0.053,0.0003,1.09
com licens,grammar,0.00025,0.06,2.1,0.031,0.0001,1.16
entir copyright,grammar,0.00025,0.06,2.1,0.031,0.0001,1.02
grant entir,grammar,0.00025,0.06,2.1,0.031,0.0001,1.0
pleas read,grammar,0.00049,0.06,2.1,0.031,0.0002,1.32
send email,grammar,0.00041,0.06,2.1,0.031,0.0001,1.44
visit site,grammar,0.00025,0.06,2.1,0.031,0.0001,2.32
regular express,web,0.00294,0.537,2.0,0.272,0.0013,1.03
make work,web,0.00245,0.536,2.0,0.27,0.0011,1.27
latest version,programming,0.00531,0.5,2.0,0.254,0.0023,0.97
see below,programming,0.00229,0.5,2.0,0.253,0.001,1.24
work fine,programming,0.00253,0.5,2.0,0.253,0.0011,1.06
word phrase,education,0.0018,0.393,2.0,0.2,0.0007,0.98
target target,culture,0.00237,0.362,2.0,0.185,0.0009,1.01
send email,internet,0.00196,0.289,2.0,0.147,0.0007,0.94
make money,internet,0.00155,0.288,2.0,0.145,0.0005,1.1
video game,internet,0.00123,0.288,2.0,0.146,0.0004,1.06
foundat inc,language,0.00302,0.243,2.0,0.122,0.001,1.01
want share,history,0.00114,0.222,2.0,0.113,0.0004,1.2
latest flash,politics,0.00147,0.205,2.0,0.105,0.0005,1.15
pleas tri,politics,0.00172,0.204,2.0,0.104,0.0006,1.3
favorit want,politics,0.00114,0.203,2.0,0.103,0.0004,1.16
imag navig,politics,0.00106,0.203,2.0,0.103,0.0004,1.04
event latest,politics,0.00114,0.2,2.0,0.1,0.0004,1.07
function new,politics,0.00147,0.2,2.0,0.1,0.0005,1.4
month ago,politics,0.00098,0.2,2.0,0.1,0.0003,1.0
want flag,politics,0.00114,0.2,2.0,0.1,0.0004,0.97
free download,java,0.00163,0.196,2.0,0.101,0.0006,1.44
take advantag,java,0.00123,0.195,2.0,0.099,0.0004,0.98
releas under,java,0.00106,0.194,2.0,0.098,0.0004,1.01
copyright notic,english,0.00114,0.177,2.0,0.089,0.0004,1.05
show hide,philosophy,0.00139,0.143,2.0,0.072,0.0004,0.98
new york,philosophy,0.00384,0.142,2.0,0.072,0.0012,1.0
never use,style,0.00049,0.118,2.0,0.06,0.0002,0.86
don see,religion,0.00049,0.103,2.0,0.053,0.0002,1.43
invis partit,religion,0.00049,0.102,2.0,0.051,0.0001,1.02
project invis,religion,0.00049,0.102,2.0,0.051,0.0001,1.02
wast time,religion,0.00049,0.102,2.0,0.051,0.0001,1.32
regular express,grammar,0.00033,0.06,2.0,0.031,0.0001,1.03
site map,grammar,0.00041,0.06,2.0,0.03,0.0001,1.15
amazon com,grammar,0.00033,0.059,2.0,0.03,0.0001,1.04
differ between,grammar,0.00082,0.059,2.0,0.03,0.0002,1.23
tri out,grammar,0.00041,0.059,2.0,0.03,0.0001,1.63
world wide,grammar,0.00033,0.059,2.0,0.03,0.0001,1.15
